0_11,1_11,2_11,3_11,4_11,5_11,6_11,7_11,8_11,9_11,10_11,11_11,12_11,13_11,14_11,15_11,16_11,17_11,18_11,19_11,20_11,21_11,22_11,23_11,24_11,25_11,26_11,27_11,28_11,29_11,30_11,31_11,32_11,33_11,34_11,35_11,36_11,37_11,38_11,39_11,40_11,41_11,42_11,43_11,44_11,45_11,46_11,47_11,48_11,49_11,50_11,51_11,52_11,53_11,54_11,55_11,56_11,57_11,58_11,59_11
1,1,1,1,1,5,1,2,6,7,1,1,3,7,1,3,1,1,8,1,4,4,10,4,1,1,1,1,1,2,2,8,1,2,5,2,1,1,8,2,4,2,1,1,3,3,3,2,1,2,1,10,2,1,1,4,1,9,8,6
6,6,3,3,2,9,1,5,4,1,3,1,3,2,1,3,1,3,6,1,1,2,1,6,1,1,1,1,1,1,1,1,1,1,2,4,1,7,3,1,4,1,1,1,2,3,2,2,2,1,1,7,1,1,1,1,1,1,2,1
4,1,1,1,1,10,7,1,6,1,1,2,2,1,2,1,3,1,9,4,5,3,9,7,1,1,7,4,1,2,4,9,1,1,1,1,10,1,1,5,5,10,10,3,4,10,2,2,1,4,1,3,4,2,1,4,4,7,3,6
4,1,3,5,3,10,3,10,4,1,6,4,5,8,2,6,3,2,6,1,3,1,4,2,1,1,7,1,1,2,1,1,1,1,1,1,1,7,2,2,2,1,2,2,2,1,2,2,1,7,1,1,1,1,5,2,8,3,4,2
4,1,1,1,3,5,1,8,8,1,4,1,7,4,2,2,3,2,6,4,2,2,2,1,1,1,1,1,5,2,1,7,3,1,1,1,1,2,1,10,2,1,1,4,3,1,2,1,3,1,8,8,2,1,2,1,2,2,5,1
4,1,1,1,9,10,5,2,6,8,4,1,2,1,1,2,5,4,3,1,3,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,3,4,1,2,2,1,8,5,1,1,1,1,1,1,5,1,6,1,4,6
1,1,1,1,1,9,7,5,9,7,1,2,1,6,1,1,1,3,1,1,3,3,2,1,1,1,1,8,1,1,2,8,1,1,1,1,10,1,1,1,1,3,1,5,2,2,10,2,6,1,1,1,1,1,1,1,6,3,7,5
4,1,1,1,1,9,5,2,8,1,2,2,1,5,3,6,1,7,2,8,4,6,1,5,1,1,7,4,1,1,6,2,5,5,1,10,2,1,2,4,2,3,1,2,2,5,2,1,5,7,1,1,1,1,1,1,4,7,1,1
8,7,1,1,1,5,3,5,6,1,2,1,2,1,1,2,2,5,4,2,2,5,1,1,2,1,1,1,4,1,1,1,6,1,1,1,1,2,1,2,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,4,1,1,1,2
4,6,1,1,3,5,1,1,8,1,2,1,4,1,5,1,5,2,6,6,1,5,2,6,1,1,1,1,1,2,4,1,1,1,1,1,1,3,2,2,2,1,6,2,1,1,2,1,2,1,2,10,5,2,1,2,3,4,1,4
1,7,1,5,1,9,1,5,5,7,2,8,2,1,1,1,3,9,6,1,6,1,9,1,2,1,1,1,1,1,1,2,1,5,1,10,10,1,4,3,2,1,1,4,1,7,2,4,1,2,6,10,1,1,1,1,4,4,2,2
4,1,1,3,9,10,1,2,5,7,3,2,4,4,1,1,3,5,2,5,2,1,9,6,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,7,1,4,1,3,2,2,5,1,1,1,1,1,1,5,1,1,3,1,1
8,6,1,5,1,9,1,2,6,6,3,7,1,1,5,2,1,4,1,8,5,5,1,1,1,1,7,1,1,1,6,8,1,1,1,1,1,1,4,3,2,2,1,2,1,4,1,2,1,2,1,1,1,1,2,1,2,9,1,6
1,7,1,1,1,9,5,7,4,8,1,7,1,3,1,1,4,1,5,4,5,1,1,1,1,1,1,1,1,1,10,2,6,1,1,1,1,1,5,5,2,1,1,3,2,2,3,1,9,1,1,3,1,1,1,1,6,9,7,7
8,1,1,1,1,10,3,1,5,1,6,6,2,2,7,1,8,5,5,4,3,2,9,1,1,1,1,1,1,2,1,1,1,1,1,1,2,9,2,3,3,10,2,1,3,1,4,1,2,2,1,2,2,1,1,7,2,1,2,2
4,1,1,1,1,5,6,8,6,6,2,2,4,6,1,2,5,5,5,9,1,6,1,7,1,1,8,1,8,1,2,9,1,1,2,1,2,2,1,3,2,5,1,2,1,1,1,3,1,1,1,3,4,1,5,1,2,3,5,1
4,1,1,1,1,5,3,8,6,6,3,2,1,4,2,6,1,2,6,9,3,1,1,2,6,1,7,1,8,6,4,2,1,1,2,2,2,2,2,1,3,1,7,2,1,4,2,2,2,1,1,1,1,1,1,2,1,3,1,4
1,1,1,1,1,9,1,5,5,1,2,1,4,1,1,3,2,5,4,2,4,4,1,1,1,9,8,4,4,3,1,1,1,1,1,4,1,2,2,1,1,2,1,2,8,1,1,2,2,5,1,6,1,1,1,1,5,3,9,4
8,1,1,3,1,2,1,8,5,1,1,1,4,2,2,1,8,3,5,5,6,1,10,5,1,1,8,1,4,1,1,7,1,1,1,1,1,1,1,4,4,2,1,2,1,4,3,5,9,1,1,7,2,1,2,1,2,1,4,1
8,1,1,1,1,5,1,7,4,6,2,4,3,1,2,1,9,7,2,4,3,1,2,1,1,1,7,1,1,1,4,1,1,1,1,1,1,7,9,3,2,1,1,5,2,1,1,1,2,2,1,6,5,3,1,1,6,1,7,2
4,1,1,1,1,10,7,1,4,2,3,7,2,4,2,1,2,7,3,3,2,3,2,5,2,9,1,1,6,1,2,1,1,1,1,1,1,1,4,1,4,1,1,2,1,4,3,1,2,1,1,1,1,1,1,1,3,4,5,4
4,1,1,1,1,5,7,8,4,1,1,1,1,2,1,1,9,4,5,5,1,3,1,2,1,1,1,1,8,10,1,1,5,1,10,10,2,1,2,2,2,1,10,5,3,1,2,5,2,1,1,1,1,1,1,1,1,2,1,8
8,1,1,1,1,5,5,5,8,6,9,2,1,2,1,1,9,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,2,8,1,3,2,2,1,1,3,1,1,4,2,1,1,1,6,2,5,6
1,1,1,1,1,9,1,1,9,6,1,1,4,1,1,3,7,2,4,9,1,9,1,1,2,1,1,1,6,1,3,3,1,1,1,1,1,1,1,2,2,1,2,4,2,1,1,4,1,1,1,1,1,6,1,3,1,1,1,4
8,7,1,1,1,10,1,2,8,1,2,7,1,7,2,3,1,7,9,1,2,3,2,2,6,1,1,1,4,1,2,1,3,1,1,1,1,3,2,1,3,1,1,5,2,2,1,4,1,5,2,1,1,1,2,1,2,1,4,1
6,1,1,1,2,10,1,9,4,1,1,2,2,4,1,3,2,7,3,1,3,1,1,2,2,1,6,1,1,2,4,3,1,1,1,1,1,1,2,9,1,5,3,3,4,2,3,1,1,1,1,3,1,1,5,1,1,4,8,1
4,1,1,1,1,5,6,8,8,6,3,8,5,1,1,1,3,7,8,6,3,4,1,1,1,9,7,1,1,1,1,3,1,1,1,1,1,1,2,2,1,2,8,8,5,1,3,2,1,1,1,1,1,1,2,2,3,4,1,1
4,1,1,1,1,5,1,2,6,7,1,1,2,1,1,1,9,4,4,4,7,4,10,6,1,1,8,1,1,1,4,2,1,6,1,1,1,1,1,2,7,1,3,3,3,1,1,2,2,8,1,6,4,1,1,5,1,1,1,4
4,1,1,1,1,10,1,5,6,1,2,1,8,1,3,6,1,9,4,1,6,4,1,1,1,1,1,1,1,2,4,8,1,1,1,10,1,1,2,3,1,1,1,4,6,1,2,1,8,1,1,1,1,5,5,2,5,4,2,5
1,1,1,1,1,2,1,1,6,8,2,5,2,4,1,8,2,5,3,4,4,3,10,1,1,1,7,4,1,2,3,1,1,1,1,1,1,1,1,4,7,1,4,1,4,1,1,1,3,1,1,7,1,1,5,1,1,1,4,1
1,1,1,1,2,2,1,2,6,7,4,1,2,3,5,8,1,1,3,5,6,9,5,1,2,1,1,1,1,2,2,3,1,5,10,1,1,1,1,2,6,10,1,3,1,4,3,1,2,7,1,8,8,1,1,2,2,4,1,2
10,6,1,1,1,10,1,5,8,1,3,2,2,1,1,4,4,2,1,2,1,1,9,1,6,1,1,1,4,1,3,2,6,1,1,1,1,3,1,2,2,2,1,4,4,3,2,5,4,1,1,9,1,1,9,1,5,4,3,4
4,1,1,1,1,9,1,7,4,7,1,1,1,1,1,2,3,9,3,2,3,1,2,2,1,1,8,1,1,1,2,1,1,1,2,1,1,2,3,1,3,7,1,4,2,1,2,1,1,1,1,3,1,1,2,2,1,7,1,8
1,7,1,1,1,10,6,5,5,6,3,10,1,7,5,6,9,10,2,4,6,1,1,3,1,1,7,1,1,2,3,5,3,1,2,1,1,2,4,1,7,1,1,2,6,6,1,3,2,1,1,1,1,1,3,7,2,4,4,1
8,7,1,1,2,10,6,5,9,8,1,1,2,10,2,1,9,10,1,6,6,1,1,1,1,1,6,1,1,1,7,2,1,1,6,9,2,2,2,1,4,1,1,2,6,1,1,2,1,1,1,7,1,1,5,1,5,4,5,4
8,1,1,1,1,5,1,1,6,7,5,1,10,4,1,1,1,10,1,2,6,5,9,1,1,1,1,1,4,1,6,1,1,1,2,1,1,3,1,1,2,2,1,5,1,6,1,1,1,1,1,9,5,1,1,2,1,4,7,8
8,1,1,5,2,9,1,1,6,1,1,3,1,1,3,2,1,10,3,1,1,1,6,1,2,1,8,1,6,2,1,5,1,1,2,1,1,3,4,1,1,1,1,4,1,1,10,1,4,2,1,7,1,1,5,4,1,1,2,4
6,1,1,1,1,10,5,8,4,7,2,1,3,1,3,3,3,2,6,1,1,8,9,1,1,1,8,1,1,1,1,1,1,1,1,1,1,7,4,8,5,1,1,5,1,1,3,1,1,1,1,9,4,1,2,1,10,1,5,2
8,1,3,1,2,9,7,9,6,1,2,7,1,7,1,3,6,5,6,5,4,2,2,2,1,7,1,1,1,2,1,6,1,1,1,1,1,2,8,1,3,1,3,1,1,5,1,2,3,8,1,1,1,1,1,3,6,1,7,5
4,1,1,1,2,10,3,1,8,1,2,1,10,3,1,1,8,4,2,3,3,4,2,1,1,9,1,1,8,2,1,2,1,1,2,8,1,2,2,8,1,3,1,3,1,1,3,3,2,5,1,4,1,1,2,4,2,1,2,1
6,1,7,1,1,5,1,2,5,1,1,4,7,1,7,1,9,9,3,1,1,2,1,2,1,1,7,7,4,1,4,1,5,1,2,1,1,1,1,1,6,1,6,4,1,1,1,1,5,1,1,8,4,1,2,1,2,1,5,1
1,6,1,5,1,5,1,2,8,6,2,6,1,3,3,2,1,2,6,1,1,1,2,1,1,1,8,1,1,2,1,3,1,1,1,1,10,1,2,3,1,1,1,2,2,1,3,9,2,8,1,10,5,1,1,2,10,1,1,2
8,7,1,5,1,10,7,1,5,1,9,4,1,2,3,3,3,1,3,1,6,2,2,2,6,1,7,1,1,2,2,2,6,1,1,1,1,2,2,4,2,1,3,5,2,2,1,2,1,1,1,1,2,1,1,7,2,2,2,1
1,1,1,1,1,9,7,2,8,8,3,6,2,10,1,2,1,3,6,1,1,3,4,1,2,1,1,1,6,6,2,1,6,1,1,1,1,1,1,1,10,1,1,2,1,1,1,2,1,2,1,1,2,1,1,3,1,4,2,6
1,1,1,1,3,9,1,1,4,7,4,6,1,2,2,3,2,7,8,3,1,1,9,1,1,1,7,1,1,1,1,5,6,7,8,10,8,2,1,1,5,2,1,2,1,4,1,1,1,2,2,1,1,1,1,1,5,4,1,1
1,6,3,1,2,2,5,8,8,1,1,7,1,5,1,1,9,5,2,1,1,1,2,7,2,1,1,1,4,1,10,8,1,1,1,1,1,2,2,1,10,3,2,1,7,4,1,3,4,5,1,1,1,1,1,4,8,3,4,4
8,1,1,1,1,5,3,2,6,1,2,2,6,9,3,6,7,2,6,5,1,7,6,1,8,9,7,1,1,2,1,8,1,2,1,1,3,1,5,2,6,6,1,2,1,5,2,3,1,1,1,2,1,1,1,2,1,7,8,7
8,1,3,1,1,10,3,5,8,1,3,2,1,2,3,1,1,2,9,1,3,2,1,1,1,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,4,1,2,1,1,1,8,1,1,1,1,2,10,1,3,2
4,1,3,1,2,2,7,5,8,7,3,3,1,7,1,1,1,4,4,9,4,1,10,1,1,1,1,1,1,2,2,5,1,1,1,1,10,2,1,1,6,2,1,5,2,6,1,9,9,1,1,6,1,1,2,1,6,2,7,1
1,1,1,1,1,2,9,1,6,1,9,4,3,8,3,1,5,8,1,4,1,4,1,1,6,7,7,1,4,6,2,6,1,1,1,1,2,1,2,8,4,1,4,1,2,2,1,4,1,1,1,8,5,1,2,2,2,4,5,7
4,1,1,1,1,10,1,2,8,1,4,8,2,1,1,1,1,5,9,1,1,1,10,1,1,1,8,2,1,1,8,7,1,1,1,1,2,2,1,10,6,2,4,4,1,1,1,2,1,1,3,3,8,1,2,2,5,1,1,4
1,1,1,1,1,9,6,2,6,7,2,3,2,7,2,2,5,1,5,1,2,3,9,1,1,9,6,1,4,1,1,1,1,1,2,4,1,2,2,1,1,4,1,4,1,1,2,1,1,1,1,1,1,1,2,1,2,1,4,7
1,1,1,1,1,10,5,8,6,8,2,1,1,1,1,1,3,10,3,4,3,1,1,1,1,1,8,1,1,6,4,1,1,8,1,7,9,1,1,3,3,4,1,2,2,4,3,9,10,1,1,1,4,1,2,5,1,1,1,2
8,1,1,5,1,5,1,1,4,1,1,3,1,1,1,2,6,10,4,4,2,1,2,2,1,7,1,1,1,1,2,2,1,2,1,1,2,2,2,2,6,3,3,4,7,6,3,2,1,1,1,9,1,1,1,10,2,1,1,4
6,1,3,1,1,9,1,1,5,6,6,2,1,5,1,5,1,4,5,5,1,4,1,1,1,1,1,1,5,6,1,2,1,6,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,9,5,1,1,2,3,1,1,6
4,1,1,1,1,2,5,1,5,6,2,1,1,1,2,1,6,3,5,4,3,2,9,5,1,1,7,4,8,2,4,1,1,1,2,1,1,3,3,2,6,8,1,1,1,1,2,1,1,1,1,1,1,1,5,1,2,1,1,7
1,6,3,1,1,2,1,5,4,1,2,1,1,2,4,1,4,3,3,8,4,1,1,6,1,9,6,1,1,2,3,2,2,1,1,1,10,3,2,2,6,9,6,1,1,2,1,3,1,1,1,3,1,1,2,1,5,1,5,5
4,7,1,3,1,5,9,5,6,1,3,2,1,1,1,3,1,5,6,1,10,3,9,1,1,9,1,1,1,1,3,8,1,1,1,1,1,2,7,2,1,1,1,1,4,1,1,2,1,1,1,8,1,1,2,5,1,1,4,4
1,1,1,1,1,10,7,2,9,6,1,2,2,1,1,1,1,4,10,1,1,1,2,1,1,1,1,1,6,3,3,9,1,1,1,1,1,2,7,4,2,2,2,3,3,3,3,2,1,1,1,8,1,1,2,2,2,3,10,6
4,1,1,1,1,9,6,7,6,1,2,2,4,1,3,1,7,1,1,8,1,6,1,1,2,1,7,1,1,1,8,3,3,1,1,1,1,2,1,2,2,6,1,2,6,1,2,3,1,1,1,1,1,2,1,2,1,1,9,8
4,1,1,5,1,9,1,2,6,1,2,1,3,1,1,1,7,1,1,1,2,5,9,2,1,7,1,1,1,1,4,7,1,1,1,1,1,2,6,9,2,10,1,2,6,1,1,2,2,1,9,4,3,1,1,3,2,2,8,1
1,1,1,1,1,10,1,1,9,1,2,1,1,1,3,3,5,2,9,1,4,1,2,2,2,1,1,4,4,2,2,3,1,1,1,1,2,2,1,1,7,2,4,1,3,3,7,1,3,1,1,1,2,1,5,2,8,1,9,8
4,1,1,1,1,9,1,7,9,6,2,2,1,10,2,1,9,3,1,6,1,3,1,1,1,7,7,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,5,8,1,1,2,1,7,1,2,2,8
8,1,3,1,2,5,1,1,4,6,3,1,2,1,3,2,6,5,6,1,2,1,1,1,2,1,8,1,1,1,6,5,3,1,2,1,1,2,1,1,5,4,1,4,1,4,2,2,2,1,1,6,1,4,2,1,2,1,4,1
10,1,1,1,1,9,1,2,4,1,3,2,1,4,3,3,3,3,1,5,1,3,1,1,1,7,1,7,1,2,1,3,5,5,2,2,1,2,2,1,1,1,4,1,4,10,2,4,5,1,1,3,1,1,1,1,6,4,1,5
1,1,1,1,3,2,3,5,6,6,4,1,1,9,8,2,9,1,4,1,3,7,10,2,1,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2,3,6,3,5,6,4,1,2,2,2,1,1,1,1,1,1,5,2,2,4
4,1,1,1,2,9,7,8,4,7,1,3,4,6,4,8,1,7,7,1,7,2,6,2,1,1,6,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,3,2,1,6,1,3,2,1,1,1,3,5,1,3,4,5,7
4,7,3,3,1,5,1,7,5,7,1,3,6,3,2,3,2,7,8,3,3,1,2,1,6,1,1,1,4,3,1,9,3,1,10,4,1,2,2,1,3,1,1,1,1,1,2,2,1,1,1,1,1,1,1,7,2,1,5,2
4,1,1,1,3,2,5,1,6,1,5,10,1,1,1,2,5,2,5,2,4,1,9,1,1,1,1,1,1,2,1,8,1,2,7,1,1,6,2,2,3,2,1,2,1,4,1,2,1,1,2,6,1,1,9,2,1,1,1,1
1,1,1,1,1,9,5,9,8,1,3,4,1,9,1,2,1,10,2,5,1,3,6,2,6,1,1,1,8,2,4,1,1,1,1,1,1,8,7,3,4,1,3,5,4,1,1,5,2,1,1,9,1,1,1,7,1,1,4,2
4,1,1,1,1,9,1,5,5,6,2,1,1,3,1,3,9,3,2,5,3,2,2,4,6,1,8,1,1,1,1,1,1,2,1,4,1,1,2,2,1,1,1,4,1,1,2,3,3,1,1,1,1,1,5,4,3,2,5,8
1,1,1,1,1,9,3,9,6,1,3,5,1,1,5,6,8,4,7,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,8,2,4,7,1,1,5,1,5,1,5,2,1,5,1,1,6,2,1,2,2,5,3,1,2
6,1,1,1,1,5,1,9,9,6,2,2,3,2,1,1,4,3,1,5,3,2,9,2,1,1,1,1,8,1,6,1,6,1,1,1,1,2,1,3,3,1,1,2,2,4,1,2,1,4,1,1,1,1,5,1,1,1,10,4
4,7,1,1,1,9,1,2,6,7,2,8,3,2,1,1,2,7,4,4,1,1,1,1,2,2,2,2,5,9,7,9,1,1,1,1,1,1,1,4,1,2,1,1,2,5,1,1,1,1,1,1,1,1,1,4,1,3,2,2
4,1,1,1,1,5,1,7,5,7,1,1,1,4,1,2,4,2,2,9,1,5,1,1,2,1,1,1,4,1,7,4,1,1,2,1,2,1,1,1,4,3,1,8,7,1,1,2,2,1,6,1,4,1,1,1,1,1,10,7
4,1,1,1,1,9,1,2,4,7,1,2,1,2,1,3,1,7,10,1,4,5,2,2,1,1,7,1,4,1,8,2,1,1,1,1,1,1,1,2,6,3,1,1,2,1,2,1,2,1,1,10,1,1,1,1,1,7,7,1
4,6,3,3,1,10,1,1,5,6,4,1,3,1,3,1,1,4,2,1,4,1,1,2,1,1,1,1,4,2,4,3,1,1,1,1,1,2,4,2,2,2,1,4,6,5,4,2,4,1,1,3,1,2,5,1,2,3,4,2
6,6,1,1,1,2,7,1,4,8,2,1,2,2,1,3,8,5,9,2,1,1,1,1,8,1,8,1,4,1,4,1,6,1,2,1,1,2,8,9,1,3,1,4,6,6,3,1,2,1,1,4,1,1,3,2,1,4,8,2
6,1,1,1,1,9,1,2,4,6,3,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,6,3,8,6,1,1,1,1,2,2,7,10,2,2,1,2,8,1,2,5,1,2,1,7,2,1,1,2,6,1,3,4
6,1,1,1,1,5,1,1,5,6,6,1,4,1,1,1,9,9,6,1,6,2,1,1,1,1,1,1,1,1,1,8,3,1,1,2,1,2,1,1,4,1,1,4,6,1,10,1,2,1,1,3,2,1,2,10,1,3,1,6
8,7,1,1,1,5,3,5,9,1,3,4,4,1,1,1,1,2,4,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,3,1,1,10,1,7,3,1,1,2,9,1,1,5,2,2,2,5,1
1,1,1,1,1,5,1,10,6,8,5,2,5,7,3,1,4,2,8,8,2,6,1,2,1,1,7,1,1,1,2,5,1,1,1,1,3,2,2,1,2,2,3,1,3,2,10,4,2,1,1,1,1,1,1,3,2,4,1,7
1,6,7,3,2,10,3,5,8,6,2,1,2,3,1,2,8,8,3,2,1,4,6,10,2,1,7,1,4,1,1,4,1,7,6,1,1,2,1,8,3,3,1,4,2,5,4,1,3,1,1,9,5,1,1,4,1,4,1,7
4,1,1,1,1,9,1,1,4,7,2,3,10,1,1,1,2,4,5,1,1,3,1,2,1,1,1,1,1,1,1,9,3,1,2,1,1,1,7,2,6,8,1,5,7,1,1,5,5,1,1,1,1,1,3,7,1,1,1,1
8,1,3,1,1,9,1,2,8,6,2,1,2,1,3,1,1,5,6,4,3,1,2,1,1,9,8,1,1,1,1,4,1,8,1,1,7,1,9,2,3,1,8,5,1,6,3,2,1,1,1,1,1,1,1,1,4,9,7,7
1,7,1,1,1,9,7,5,9,6,3,2,1,1,1,6,4,2,2,8,3,3,1,1,1,1,1,4,1,1,2,3,1,1,1,1,1,2,3,1,4,8,6,2,2,1,1,2,1,1,1,1,2,2,9,1,1,1,1,7
4,1,1,1,3,5,3,1,6,6,1,3,4,10,1,3,1,2,1,1,3,2,2,1,1,1,7,1,1,1,2,2,1,1,1,1,2,2,2,10,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,4,5,2,5,1
6,1,1,1,1,9,1,2,9,6,2,4,1,1,1,6,9,1,2,4,2,4,2,1,7,1,1,1,1,6,10,1,1,1,1,1,1,7,7,1,1,1,3,1,2,6,1,1,1,1,1,3,1,1,3,1,4,1,4,2
4,1,1,1,1,10,1,1,4,7,2,1,1,2,2,1,9,4,6,6,3,1,2,1,1,2,8,1,1,1,2,3,1,1,1,1,2,1,1,2,1,1,1,2,7,1,1,3,2,6,2,6,1,1,9,7,3,9,1,8
4,1,3,5,1,5,7,7,9,1,4,2,2,4,1,6,9,7,7,1,6,3,1,7,1,1,1,1,1,2,2,2,6,1,10,8,1,1,1,5,3,1,2,1,6,1,1,1,1,1,1,1,1,1,1,2,1,4,1,6
4,1,1,1,1,5,1,10,4,7,1,2,1,1,3,2,1,9,3,1,1,2,10,1,1,7,1,1,8,1,1,7,1,1,1,1,1,9,1,1,4,1,8,2,2,4,1,7,5,1,1,1,1,1,5,2,2,3,4,1
8,1,1,1,1,9,6,1,8,5,3,1,1,1,5,3,4,4,10,1,4,2,2,1,1,7,6,1,5,1,1,1,1,1,1,1,1,2,2,3,4,1,1,4,4,1,1,1,1,1,1,3,1,1,1,2,1,3,2,4
4,1,1,1,1,5,1,2,6,7,3,8,1,1,1,1,5,4,1,6,1,2,1,2,1,1,7,1,1,2,2,2,1,1,1,1,1,1,2,4,2,8,1,2,1,1,3,10,1,1,1,1,8,1,1,1,1,1,1,8
